
/data/jinjianjun/.pyenv/versions/3.6.5/bin/round_statistics.py -f w0.75P0spades-unlimited--SRR4428742-plastome/embplant_pt.K75.complete.graph1.1.path_sequence.fasta -d w0.75P2E5-rbcL--SRR4428742-plastome/intermediate_reads -i w0.75P2E5-rbcL--SRR4428742-plastome/seed/embplant_pt.initial.fq -o w0.75P2E5-rbcL--SRR4428742-plastome/round_statistics -R 1000 -t 8 --max-coverage-tick 800 --draw

2019-09-22 19:46:35,066 - INFO: 96 paired fastq files found. 1000 rounds required.
2019-09-22 19:46:35,066 - INFO: #Round	Round_Covered_T0	Round_Covered_T10	Cumulative_Covered_T0	Cumulative_Covered_T10	Other_reads	Other_percentage
2019-09-22 19:48:17,557 - INFO: Round.70	0.0	0.0	1.0	0.9999346311234295	127	1.0
2019-09-22 19:48:17,843 - INFO: Round.71	0.0	0.0	1.0	0.9999346311234295	138	1.0
2019-09-22 19:48:18,130 - INFO: Round.72	0.0	0.0	1.0	0.9999346311234295	49	1.0
2019-09-22 19:48:18,421 - INFO: Round.73	0.0	0.0	1.0	0.9999346311234295	22	1.0
2019-09-22 19:48:18,707 - INFO: Round.74	0.0	0.0	1.0	0.9999346311234295	37	1.0
2019-09-22 19:48:18,994 - INFO: Round.75	0.0	0.0	1.0	0.9999346311234295	96	1.0
2019-09-22 19:48:19,280 - INFO: Round.76	0.0	0.0	1.0	0.9999346311234295	75	1.0
2019-09-22 19:48:19,567 - INFO: Round.77	0.0	0.0	1.0	0.9999346311234295	83	1.0
2019-09-22 19:48:19,853 - INFO: Round.78	0.0	0.0	1.0	0.9999346311234295	65	1.0
2019-09-22 19:48:20,141 - INFO: Round.79	0.0	0.0	1.0	0.9999346311234295	49	1.0
2019-09-22 19:48:20,428 - INFO: Round.80	0.0	0.0	1.0	0.9999346311234295	53	1.0
2019-09-22 19:48:20,715 - INFO: Round.81	0.0	0.0	1.0	0.9999346311234295	31	1.0
2019-09-22 19:48:21,003 - INFO: Round.82	0.0	0.0	1.0	0.9999346311234295	28	1.0
2019-09-22 19:48:21,289 - INFO: Round.83	0.0	0.0	1.0	0.9999346311234295	47	1.0
2019-09-22 19:48:21,574 - INFO: Round.84	0.0	0.0	1.0	0.9999346311234295	27	1.0
2019-09-22 19:48:21,860 - INFO: Round.85	0.0	0.0	1.0	0.9999346311234295	22	1.0
2019-09-22 19:48:22,156 - INFO: Round.86	0.0	0.0	1.0	0.9999346311234295	27	1.0
2019-09-22 19:48:22,456 - INFO: Round.87	0.0	0.0	1.0	0.9999346311234295	22	1.0
2019-09-22 19:48:22,752 - INFO: Round.88	0.0	0.0	1.0	0.9999346311234295	33	1.0
2019-09-22 19:48:23,055 - INFO: Round.89	0.0	0.0	1.0	0.9999346311234295	13	1.0
2019-09-22 19:48:23,342 - INFO: Round.90	0.0	0.0	1.0	0.9999346311234295	7	1.0
2019-09-22 19:48:23,629 - INFO: Round.91	0.0	0.0	1.0	0.9999346311234295	12	1.0
2019-09-22 19:48:23,915 - INFO: Round.92	0.0	0.0	1.0	0.9999346311234295	19	1.0
2019-09-22 19:48:24,201 - INFO: Round.93	0.0	0.0	1.0	0.9999346311234295	49	1.0
2019-09-22 19:48:24,485 - INFO: Round.94	0.0	0.0	1.0	0.9999346311234295	57	1.0
2019-09-22 19:48:24,772 - INFO: Round.95	0.0	0.0	1.0	0.9999346311234295	15	1.0
2019-09-22 19:48:25,057 - INFO: Round.96	0.0	0.0	1.0	0.9999346311234295	0	-
