
GetOrganelle v1.6.2

get_organelle_from_reads.py assembles organelle genomes from genome skimming data.
Find updates in https://github.com/Kinggerm/GetOrganelle and see README.md for more information.

Python 3.6.5 (default, Sep 20 2018, 17:13:01)  [GCC 4.8.5 20150623 (Red Hat 4.8.5-28)]
Python libs: numpy 1.15.1; sympy 1.3; scipy 1.1.0; psutil 5.4.7
Dependencies: Bowtie2 2.3.5.1; SPAdes 3.13.0; Blast 2.2.30
/data/jinjianjun/.pyenv/versions/3.6.5/bin/get_organelle_from_reads.py -1 SRR4428742_250M_1.fastq -2 SRR4428742_250M_2.fastq -t 1 -J 1 -M 1 -R 1000 -s ../local_seed/NC_011942.1.Gnetum_parvifolium.rbcL.fasta -w 0.75 -o w0.75P0spades-unlimited-rbcL--SRR4428742-plastome -k 35,75 -F embplant_pt -P 0
2019-09-22 18:33:39,394 - INFO: Round 98: 4355099/4355099 AI 153507 AW 774236 Mem 0.229
2019-09-22 18:34:52,892 - INFO: Round 99: 4355099/4355099 AI 154318 AW 779260 Mem 0.23
2019-09-22 18:36:04,032 - INFO: Round 100: 4355099/4355099 AI 155177 AW 783478 Mem 0.23
2019-09-22 18:37:15,837 - INFO: Round 101: 4355099/4355099 AI 156015 AW 787194 Mem 0.231
2019-09-22 18:38:26,977 - INFO: Round 102: 4355099/4355099 AI 156852 AW 791242 Mem 0.231
2019-09-22 18:39:14,138 - INFO: Round 103: 4355099/4355099 AI 157634 AW 794442 Mem 0.232
2019-09-22 18:39:59,257 - INFO: Round 104: 4355099/4355099 AI 158398 AW 797986 Mem 0.232
2019-09-22 18:40:44,625 - INFO: Round 105: 4355099/4355099 AI 159383 AW 802660 Mem 0.233
2019-09-22 18:41:33,879 - INFO: Round 106: 4355099/4355099 AI 160295 AW 807664 Mem 0.233
2019-09-22 18:42:41,086 - INFO: Round 107: 4355099/4355099 AI 161076 AW 811120 Mem 0.234
2019-09-22 18:43:53,576 - INFO: Round 108: 4355099/4355099 AI 161374 AW 812262 Mem 0.234
2019-09-22 18:45:05,699 - INFO: Round 109: 4355099/4355099 AI 161495 AW 813126 Mem 0.234
2019-09-22 18:46:17,699 - INFO: Round 110: 4355099/4355099 AI 161597 AW 813878 Mem 0.234
